StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q3,Q4,Q23_First Click,Q23_Last Click,Q23_Page Submit,Q23_Click Count,Q100,Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q113,ID,sourcefile,gender,age,Message,string,V,U,index_U,Y
2020-08-13 06:10:28,2020-08-13 06:12:57,0,100,148,1,2020-08-13 06:12:57,R_D9a6eLHcOuAPXgZ,anonymous,EN,1,1,0,0,67.249,0,1,2,4,3,1,1,1,4,3,1,3,3,3,3,4,"F-YOUNG-R_August+13,+2020_08.24.csv",F,YOUNG,NA,woman under 30 years old,1,4,1,32
2020-08-14 07:05:45,2020-08-14 07:07:41,0,100,116,1,2020-08-14 07:07:41,R_AEtRPVOziFBzT69,anonymous,EN,1,1,9.106,11.007,53.142,2,1,2,4,2,1,4,4,4,4,4,4,4,4,4,5,"F-YOUNG-R_August+14,+2020_12.02.csv",F,YOUNG,NA,woman under 30 years old,1,1,5,45
2020-08-14 07:45:23,2020-08-14 07:48:50,0,100,206,1,2020-08-14 07:48:51,R_3dYT49Y9QrTWWZA,anonymous,EN,1,1,0,0,31.353,0,1,3,3,3,3,3,1,2,1,2,1,4,2,1,6,"F-YOUNG-R_August+14,+2020_12.02.csv",F,YOUNG,NA,woman under 30 years old,1,2,5,29
2020-08-14 08:29:04,2020-08-14 08:40:25,0,100,680,1,2020-08-14 08:40:25,R_ST8Fvyxa6wybH69,anonymous,EN,1,1,0,0,53.462,0,1,3,4,3,3,2,2,4,4,3,1,4,4,3,7,"F-YOUNG-R_August+14,+2020_12.02.csv",F,YOUNG,NA,woman under 30 years old,1,3,5,40
2020-08-14 09:16:48,2020-08-14 09:19:39,0,100,170,1,2020-08-14 09:19:39,R_3JezwEF8EkaexQo,anonymous,EN,1,1,0,0,55.585,0,1,1,1,1,0,0,2,0,1,0,0,4,0,0,8,"F-YOUNG-R_August+14,+2020_12.02.csv",F,YOUNG,NA,woman under 30 years old,1,4,5,10
2020-08-13 03:00:34,2020-08-13 03:04:21,0,100,226,1,2020-08-13 03:04:21,R_yjveGBOtzIBEA4p,anonymous,EN,1,1,0,0,67.278,0,1,3,3,3,3,4,3,3,3,3,3,4,3,3,1,"M-OLD-R_August+13,+2020_08.25.csv",M,OLD,NA,man over 50 years old,4,1,4,41
2020-08-13 03:46:48,2020-08-13 03:49:29,0,100,161,1,2020-08-13 03:49:29,R_yOT34rtEtQ9oyCB,anonymous,EN,1,1,0,0,48.151,0,1,2,2,1,1,1,1,2,2,1,2,1,3,1,2,"M-OLD-R_August+13,+2020_08.25.csv",M,OLD,NA,man over 50 years old,4,2,4,20
2020-08-13 04:32:55,2020-08-13 04:37:52,0,100,296,1,2020-08-13 04:37:52,R_pM1bbEaisvwSash,anonymous,EN,1,1,0,0,77.167,0,1,2,2,2,2,1,1,3,2,2,3,3,3,1,3,"M-OLD-R_August+13,+2020_08.25.csv",M,OLD,NA,man over 50 years old,4,3,4,27
2020-08-13 05:18:39,2020-08-13 05:21:09,0,100,150,1,2020-08-13 05:21:09,R_w7dkS1IKvqT9H0t,anonymous,EN,1,1,2.512,25.201,43.429,2,1,2,3,2,2,2,2,4,3,3,3,4,3,3,4,"M-OLD-R_August+13,+2020_08.25.csv",M,OLD,NA,man over 50 years old,4,4,4,36
2020-08-14 07:14:45,2020-08-14 07:17:20,0,100,154,1,2020-08-14 07:17:20,R_2ROCh27keUO6wGY,anonymous,EN,1,1,1.902,1.902,40.094,1,1,1,2,1,1,1,2,3,2,1,3,4,2,1,5,"M-OLD-R_August+14,+2020_12.02.csv",M,OLD,NA,man over 50 years old,4,1,8,24
2020-08-14 07:39:44,2020-08-14 07:45:39,0,100,354,1,2020-08-14 07:45:39,R_2xzP967D6N9YucS,anonymous,EN,1,1,82.63,91.173,92.895,2,1,4,4,3,3,2,1,4,4,4,4,4,4,2,6,"M-OLD-R_August+14,+2020_12.02.csv",M,OLD,NA,man over 50 years old,4,2,8,43
2020-08-14 09:30:29,2020-08-14 09:44:16,0,100,827,1,2020-08-14 09:44:17,R_bqm5EnNnFi39N5f,anonymous,EN,1,1,0,0,44.316,0,1,3,2,2,1,0,1,2,2,2,3,3,3,2,7,"M-OLD-R_August+14,+2020_12.02.csv",M,OLD,NA,man over 50 years old,4,3,8,26
2020-08-14 10:54:49,2020-08-14 10:57:10,0,100,140,1,2020-08-14 10:57:10,R_25XtGEpZ6jM3nKT,anonymous,EN,1,1,0,0,47.43,0,1,3,3,3,2,3,3,3,3,3,3,3,3,3,8,"M-OLD-R_August+14,+2020_12.02.csv",M,OLD,NA,man over 50 years old,4,4,8,38
2020-08-13 03:53:04,2020-08-13 03:54:18,0,100,74,1,2020-08-13 03:54:19,R_1jIeyNefATwSQui,anonymous,EN,1,1,1.371,35.172,35.962,5,1,3,3,3,3,3,3,0,0,1,2,1,2,2,1,"M-YOUNG-R_August+13,+2020_08.25.csv",M,YOUNG,"<object width=""300"" height=""300"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-IN-2/1_msg.txt"" border=""0"" >
</object>",man under 30 years old,3,1,3,26
2020-08-13 04:01:43,2020-08-13 04:03:35,0,100,111,1,2020-08-13 04:03:35,R_agam4o5FfLPhiSd,anonymous,EN,1,1,25.897,34.565,35.7,4,1,4,4,3,3,3,3,3,3,3,3,4,3,2,2,"M-YOUNG-R_August+13,+2020_08.25.csv",M,YOUNG,"<object width=""300"" height=""300"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-IN-2/2_msg.txt"" border=""0"" >
</object>",man under 30 years old,3,2,3,41
2020-08-13 04:54:27,2020-08-13 04:56:24,0,100,116,1,2020-08-13 04:56:24,R_3dJKwhNnen8wleF,anonymous,EN,1,1,0,0,57.363,0,1,0,1,0,0,0,0,1,1,0,1,1,0,2,3,"M-YOUNG-R_August+13,+2020_08.25.csv",M,YOUNG,"<object width=""300"" height=""300"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-IN-2/3_msg.txt"" border=""0"" >
</object>",man under 30 years old,3,3,3,7
2020-08-13 06:21:40,2020-08-13 06:24:11,0,100,150,1,2020-08-13 06:24:11,R_1ONv7mDhxUrmmiC,anonymous,EN,1,1,0,0,42.1,0,1,3,2,3,2,2,3,3,2,3,2,3,3,3,4,"M-YOUNG-R_August+13,+2020_08.25.csv",M,YOUNG,"<object width=""300"" height=""300"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-IN-2/4_msg.txt"" border=""0"" >
</object>",man under 30 years old,3,4,3,34
2020-08-14 06:53:49,2020-08-14 06:56:46,0,100,176,1,2020-08-14 06:56:46,R_2flp4o4ayvQeIDg,anonymous,EN,1,1,0,0,36.831,0,1,3,3,2,3,2,3,3,3,3,1,3,3,3,5,"M-YOUNG-R_August+14,+2020_12.02.csv",M,YOUNG,NA,man under 30 years old,3,1,7,35
2020-08-14 07:41:27,2020-08-14 07:44:50,0,100,203,1,2020-08-14 07:44:51,R_1q8RxCP0GlAFujQ,anonymous,EN,1,1,0,0,75.69,0,1,3,4,3,4,1,2,3,1,2,3,4,3,1,6,"M-YOUNG-R_August+14,+2020_12.02.csv",M,YOUNG,NA,man under 30 years old,3,2,7,34
2020-08-14 08:29:27,2020-08-14 08:33:39,0,100,252,1,2020-08-14 08:33:40,R_8BLDr7xmmeYnSAp,anonymous,EN,1,1,0,0,52.862,0,1,4,4,3,3,2,3,4,3,4,2,4,4,3,7,"M-YOUNG-R_August+14,+2020_12.02.csv",M,YOUNG,NA,man under 30 years old,3,3,7,43
2020-08-14 10:06:10,2020-08-14 10:09:20,0,100,190,1,2020-08-14 10:09:21,R_UnHR844NLVAkha1,anonymous,EN,1,1,0,0,70.375,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,8,"M-YOUNG-R_August+14,+2020_12.02.csv",M,YOUNG,NA,man under 30 years old,3,4,7,39
